,FullyConnected,GCN,GAT,GraphSAGE,Transformers
1,0.15316,0.0958,0.09611,0.4219069,0.382719
2,0.153009,0.096348,0.09828,0.4230166,0.409852
3,0.236455,0.095065,0.09511,0.424887,0.41446
4,0.302429,0.09012,0.09078,0.59822858,0.52003251
5,0.32693,0.09219145,0.09739,0.603724,0.5982456
6,0.290611,0.088978,0.088432,0.6082549,0.59405
