,FullyConnected,GCN,GAT,GraphSAGE,Transformers
1,0.33518,0.4713,0.36598,0.9043357,0.90187
2,0.40559,0.35156,0.4798048,0.9074079,0.907391
3,0.3093,0.4736,0.460165,0.902842,0.909249
4,0.38739, 0.2071,0.1739029,0.79898257,0.78904459
5,0.545997,0.158837,0.2375583,0.79251209,0.8340723
6,0.411379,0.2166,0.20101,0.78934,0.807615
